Protein_ID,Group_A_1,Group_A_2,Group_A_3,Group_B_1,Group_B_2,Group_B_3,Group_C_1,Group_C_2,Group_C_3,Group_D_1,Group_D_2,Group_D_3
Q8IWZ8,38377912.16,,55978556.7,27727577.46,38444851.77,29939936.88,44088244.06,36717567.31,,30142088.09,,39762394.8
A3QJZ7,19211278.55,21445985.28,20084044.69,20825672.74,14415693,16111259.95,12204596.06,20936568.18,23366638.02,13392823.21,17957703.71,16677403.98
O15031,97819200.23,78188104.7,91471233.88,98401876.36,69980248.04,,37665550.13,37488553.98,,78242291.86,82784490.49,111433845.2
Q8N7M2,1147098789,,2002349219,799878082.5,1189312411,1243676571,2461974551,2485935343,3260863478,720113277.8,1044766249,1144103857
P37268,21930927.45,20676450.81,26226521.15,26098741.28,29108818.26,30842447.43,18196902.77,,23813220.86,25711465.29,25149135.68,
O43915,14638542.28,,19414952.18,10946168.22,15132615.22,12169160.11,13384351.01,18429094.74,21109120.98,14393615,13842468.87,9860223.253
Q9UFH2,2211295.154,2249099.869,2059719.66,1744632.971,2363929.896,2359907.236,3505322.495,4685215.747,,1738507.644,2156364.149,2399881.059
Q9H171,12121623.78,16716969.48,14989506.78,,14848292.72,15539967.38,,15021681.52,14025515.46,11777136.33,,9548303.043
Q9UM01,25156590.2,23353083.43,27838292.12,22293411.26,22379892.71,26226329.15,20626974.13,32617616.73,34082173.16,27517983.05,30079813.61,28222516.19
Q8N9Z2,170978352.2,126462429.8,110476053.4,141252208.4,209605018.5,248216818.8,50244282.96,73807320.43,61083155.59,115806525.7,145735994.8,182210959.7
Q9H299,17304846.66,21457694.68,17134634.36,11175864.15,15126588.6,17022289.6,17188981.57,22722559.05,12940733.21,10495431.46,16497507.84,18810266.63
Q14674,754427062.8,694101792.2,899868841.2,744045424.4,641547029.8,792808951,784770058,711195961.9,742008859,758692933.9,679177191,927093049.5
Q7Z3B4,1186023.551,959473.484,,886727.773,1229201.69,1043124.77,1071844.505,1110309.19,1083827.296,811427.873,863417.273,1373017.45
P60174,29277133.92,37584377.77,62373276.84,20738695.88,15299405.66,30851291.62,27093608.7,33448729.34,,23520378.65,25647721.47,53547539.98
Q8NHH1,10536334.97,14861942.06,20182305.88,,12788241.03,17661754.05,9630035.133,12662985.35,23414059.27,9669315.244,23604958.18,21084102.59
Q8N9R6,2158580.099,2766415.134,,1963842.055,3079113.264,2920525.129,2539384.309,1797080.65,2685706.04,2176603.701,2641915.273,2710728.288
Q9BR26,192901445.9,,202041353.7,153572835.8,162344936.6,170924207.6,140912626.7,239966795.4,,210626970.3,151942594.2,130445480.5
Q9Y4I5,30372901.55,,23622832.09,16039075.24,12544552.52,24578711.58,22202055.17,22543696.01,21901142.03,10139195.48,8510279.955,9533712.342
Q9NXP7,25857958.62,21702086.97,26733047.87,12507449.4,14886581.56,15702042.14,26739746.47,,26124880.86,13266616.63,25895507.37,
Q9GZM8,10236071.96,14967770.02,6968502.472,6321774.854,7743886.467,8515090.453,10101441.68,10369969.01,11410853.46,10937837.22,10128869.1,14608811.29
Q9HD40,412418242.5,356360213.5,485941726,739949407.3,661222442.3,1259634628,565817255.8,476467899.5,527591444.8,415339843.8,459410812.3,437397328.8
Q92959,855377884.1,799545403.8,672867150.8,715738037.1,669904306.6,675972660,511171850.3,585205666.8,893692801.7,608176310.5,477208982.4,
O43301,12943057.58,19802273.75,20478347.57,12263777.71,10154988.14,,9267361.786,13674535.72,20862084.94,10290983.19,11981757.88,10172200.66
Q6P9G0,19756492.94,20087081.55,,5719440.001,,6309212.538,13020004.37,13441270.1,23297429.21,15517867.63,17271317.19,16098974.98
P35626,24368964.96,24224471.51,37398846.44,29511725.76,15774294.59,26346328.38,13947150.92,19067621.66,33018938.56,23030835,31922766.69,22912634.11
A6NE01,14685015.7,,,20944713.41,24311858.53,22919483.51,9095500.589,12863720.24,15548948.05,17752583.8,24720993.43,26037134.29
P55286,6861742.798,7362413.11,9991282.631,4772363.145,6790659.505,12831283.75,9273311.169,6829767.186,9230927.601,7005345.164,5951760.537,6736819.352
P05412,6792258.988,5517050.085,4750374.287,6074532.511,,5671662.333,4032366.087,3778843.918,5719820.4,3708459.325,3938070.516,
P52434,,10017437.07,11342188.5,7793085.426,10556844.71,10601664.19,7904839.933,,,13164946.39,8606264.496,9390922.45
P50549,18666587.22,23587665.38,29427153.52,17392047.62,10483327.93,10643184.4,43535897.28,51302802.17,46301996.52,17871223.87,9837428.118,16777356.26
O76087,10585475.71,9672379.643,7380762.833,11975083.18,11793974.37,,,9342748.136,8021980.604,7823678.907,10987270.61,9404577.263
P40189,37964929.83,29289978.9,39519454.33,21203898.11,57306222.44,43287213.88,26044828.83,25557238.82,38020134.41,46343586.96,58018473.42,49529112.27
Q8NA96,28026589.56,25221952.3,29509826.24,18337797.86,27419272.89,36440231.18,11194511.36,9460474.989,13754290.34,35385748.39,24925576.43,21557278.35
Q8WTX7,34408067.42,31530617.66,41297382.76,31958305.84,35071859.52,52148626.22,49651639.59,34052976.25,38736546.14,94383865.16,92081468.46,114590919.4
Q92696,67012223.57,98153621.63,74110189.09,55859636.53,,49200573.93,57840131.35,64395084.05,44174487.65,138036572.6,197316187.7,109415931.5
Q8N0Z2,5794924.69,5786890.374,5773561.329,7052194.714,8121839.661,6631217.272,6313987.47,6554664.963,5534178.318,2452917.97,3354446.676,3444864.19
Q693B1,22475618.45,26111181.7,29254793.57,13854361.88,11282101.26,14407633.97,22348187.07,29683544.99,33658248.48,30138450.83,25196701.36,31198451.2
Q14142,14225327.37,13999093.53,15712988.62,15649907.04,13807355.32,15085577.57,10350628.6,14842739.12,17125940.3,17095012.46,13696529.99,13300256.79
Q53S33,7347794.791,15036678.33,8300173.149,10940823.46,7540789.058,6886161.765,,,8412415.207,9534529.566,12140654.56,11315457.71
Q12887,172779942.9,223914285.1,249803530.6,120877721.6,152553796.1,192293751.7,184829977.7,171092192.2,242161533.8,191405020.5,244478307.7,164692241.7
P10745,15420338.9,10043118.37,9035126.939,14312586.87,15101360.84,17629287.85,14362606.8,11446667.14,15329223.31,11209290.05,15503303.8,14778080.18
Q9UPY5,7152280.384,,9943163.068,9382772.944,,9020670.435,9609016.248,11302190.29,11865596.27,8404600.771,9044450.411,8884745.872
Q9BTM9,3050252.379,2188464.165,2288939.713,3144868.333,2832252.26,3500201.494,,1102521.112,1493110.929,2195369.158,2996455.743,3282204.965
Q01970,13804856.38,9718220.531,5859938.154,,12075237.97,10859834.51,11351057.01,9670328.572,16271181.53,3603525.575,13279426.39,11016360.21
P03891,,724814076.5,,672407735.5,675468840.6,,572468198.5,717516138.3,784628563.6,576191753.9,620485166,862982787.9
E5RJ46,159530253.8,150638413.1,170470486.6,134722049.1,172297030,139125769.5,,,158352200.9,,165138565.7,185156554
P00995,38451333.03,48563601.43,33127877.16,39409018.48,49602589.21,81299375.79,58346497.12,46800520.55,59269735.38,81449338.31,87136891.91,153557623.8
Q9NUU7,16985062.28,25498902.07,32384121.13,22406585.96,18372815.38,31143497.39,11400992.45,24947412.5,32660720.23,23583614.31,26096837.92,24888449.23
O43586,3031333.979,5605446.15,4636138.846,,2471024.226,3126652.726,2197584.111,5706020.913,3312994.041,4512866.854,3775340.724,1720870.44
O00570,12509274.75,14104336.79,7641557.621,4895102.549,10173275.64,9126954.034,10139076.47,4077393.546,5601190.534,5941751.848,8189855.538,6706692.255
P0CJ77,24540593.24,22415350.97,32380165.84,22741084.8,25517528.23,42025356.26,,30493315.01,28370243.63,49548238.96,51893670.23,66193453.99
Q8NBC4,5989496.478,7445134.623,8717296.07,7072391.874,7514082.477,9799320.394,6749955.045,8777584.188,7182904.853,12983314.31,11122420.01,16857599.08
Q8N4M1,1701064478,1689994665,1903024852,1980948611,2123862085,1977893154,1621014319,1577491581,2329114812,4399131557,4862302033,4039094900
A0A2R8Y619,130335646.4,105104327.7,93895484.82,117880354.9,,156529192.1,,128566583.1,149946861.2,147918286.3,129063702.2,140269946.8
Q9H1V8,283928218.5,212388884.8,157791892.7,139830892.8,234982295.7,231435368.3,231612849,,203353433.3,,120609207,82360808.6
Q02413,27677184.46,25661980.98,32130071.32,25656142.49,30561310.91,24775468.39,,28825063.82,25261203.71,25046158.68,29575198.92,26257032.69
Q96GK7,,68330985.26,59904917.6,43029657.27,51720587.02,56429822.12,45351463.89,61619213.59,63225171.8,52781795.52,76458530.21,68166305.56
Q8N823,163273766.8,115694277.9,182736502.1,,75709141.13,84896261.44,137942305.5,215055375.1,229128642.2,221224796.6,142903594,
Q15940,166005597,165180046.3,222730368.6,150480588.4,163183143.8,200059356.4,177676932.9,219603238.8,239480462.4,232262817.9,209028257.8,203891086.7
P68402,3630307.331,5340919.028,4601849.223,5036089.215,6964255.981,7354378.336,4203646.492,6275978.904,3988753.237,7721551.212,5892959.353,5404122.624
Q9N2J8,55260946.73,42466159.18,51360464.42,,55269926.56,43727788.04,25265528.25,17789293.19,23081676.25,,44355088.17,47531525.97
Q5VTL7,7349183.447,4774496.184,8048487.962,5916058.2,,6330501.691,11742857.6,16806001.1,,7541026.861,7239669.722,10805502.89
P15954,9773554.949,17285427.67,28784166.3,10238680.77,24779643.01,41543306.54,28840123.72,,22771794.68,14496533.92,11843937,22603550.76
Q9Y2L8,34488620.06,45996036.44,59674409.46,47054001.92,46130629.79,35538973.6,59654526.07,44148396.92,59640847.28,29534222.27,32184870.75,61668569.57
O14646,15937194.76,18888997.16,17396876.45,45485846.54,56554966.86,53580566.32,16994124.82,15815377.95,20135056.33,34630647.28,37306789.95,31561848.05
Q75VX8,345088235.6,420191985.1,361011918.5,491099072.7,485149583,567405580.6,249843287,328858617.4,317466282.5,311317577.2,416010674.5,351177803.9
Q9Y2C4,,8612849.588,,7000479.077,9909263.197,7706619.204,5182568.302,,,7078031.638,,5275930.346
P61221,13978968.54,15736823.32,14148960.23,,,17202075.92,4977093.333,6120094.321,12382137.69,17960413.89,18579930.38,12322570.79
Q96P70,299738525.8,178767180.6,,207448943.2,291568824.9,187486321.7,223283336.2,219526866.2,249210053.5,,224877862.2,272068662.4
Q96PD6,2942102.933,3824830.939,4978146.263,3108031.494,4249781.272,3708299.351,7163996.841,,7921243.951,1150130.073,2543047.348,
A0A1B0GX68,88472805.4,68894388.58,67431209.49,52403099.96,37487112.46,50969661.88,161655849.8,165855246.8,168903988.4,44880552.57,39742418.22,52628383.25
Q9BQA1,59379246.91,51954923.86,69007471.67,56357548.99,72332551.5,75475384.71,67181660.92,55980788.16,70202070.42,,56026088.06,68877399.22
P33552,14083670.2,14104627.92,,,10642203.74,18080110.92,13765728.86,18182791.64,17581473.62,25879948.53,35569529.48,38539022.02
Q494V2,183339436.7,177400117.3,194055709.7,189960289.3,194594114.3,239365586.8,238911218,352002592.9,179730592.1,70674235.89,111931325.1,85617966.15
Q9H1M3,32009069.21,21049180.04,34970692.92,19779530.97,26554850.3,45600551.27,17540929.9,23571015.6,23457019.78,17959321.7,20038008.02,27772556.82
O14647,566304899.8,509752599.7,1098998685,562379853.4,780626313.6,601239272.5,551443141.6,745261932.1,980097213.1,,462319651.8,618545022.1
P56182,288505191.4,412515021.1,548269875.1,361166691.3,397698706.7,365676202.4,350095264.9,411777859.5,472845751.9,318984001.7,481049850.7,424224697.1
A0A0C4DH24,49599891.59,67054617.22,86748597.95,51206830.25,69550750.4,,45317068.47,116985149.8,73896708.88,47773959.8,60990012.35,77790544.35
Q14654,,96370250.2,,109487186.6,95344290.23,121794592.8,112738505.2,99296121.76,104997996,104553698.8,132872148.2,113496034
A0A0C4DH41,18355532.64,15386153.66,24900126.85,15446980.46,19441709.17,20137297.02,17262255.3,18073780.54,,7482645.571,8112464.501,11173374.69
Q9Y3B8,62570701.42,,75097733.67,40750054.55,51941694.54,72878724.53,48735516.55,65791429.38,46226572.19,49365885.93,75583632.94,62295568.11
P35579,117080966.4,206017645.2,197283455.8,98369495.54,230385118.2,187842898.2,,170856604.7,112200994,108653616.7,,248066636.2
Q9BYZ2,6444897.323,9299321.647,8044921.113,14634450.65,8429125.479,,6923679.736,7798814.208,9460527.166,5979457.216,8142451.68,8572818.894
Q9Y2T6,18844408.66,18627079.75,18716808.47,20773289.47,21027864.8,13243767.15,19595267.28,14894728.57,21722202.84,59391441.99,38139760.24,38652665.16
Q5JRM2,,98516166.87,165990533.8,155590199.3,120857108.3,,137486235.4,92260885.89,,86515306.58,,73200299.62
Q15811,1578320.503,2232906.909,1907794.761,5156464.312,3799132.396,,1897522.27,1989944.047,3427138.061,1305827.988,3423054.586,1748357.604
A8MXK1,11104067.74,11089153.43,22317370.5,7592627.57,19882226.41,15684556.62,11650303.53,9058571.586,14799417.94,14262756.75,12808967.3,18268930.53
Q9GZV7,61629425.38,98816087.14,72182161.49,,49643342.19,65732110.48,56776060.06,69366800.7,71641959.72,53686152.97,43968237.7,62264182.01
P13497,10072577.16,8523415.233,6456701.845,8571275.911,6529875.624,11980758.47,10124961.62,7353550.011,10096719.02,6413454.672,14244042.79,
Q02338,127659246,162261392.5,127722925.8,222255074.7,270986918.1,331710251.3,103155804.4,130248934,110112433.7,135163384.2,103938607.4,125792847
Q6P4F1,30794897.41,35946638.36,34404161.33,30963727.76,56101299.7,45457485.2,,27185073.34,51562365.3,37329245.08,,62041676.81
P0CB38,112949585.6,117451625,110115345.8,91596534.04,114406499.2,111925596,241788571.9,242517620.9,271749873.3,72388039.38,106484195.7,98967873.66
Q4KMQ1,11194425.33,12516409.77,11889279.45,17033897.92,14223117.35,13551846.29,32006305.12,38062712.03,25090278.35,13719396.79,11256476.95,15349545.9
Q9NRD8,121641491.1,73655752.85,106141793.7,150941841.1,100099787.1,142721384,244126652.9,152351684.1,255435768.2,37115824.24,38383990.31,46815325.33
Q96KW2,6408894.62,6200756.123,6434341.896,,,,17030680.23,12354081.42,14157410.08,4577572.281,5110823.245,6758148.55
Q68EN5,48175623.56,85314603.97,61407132.69,147697485.2,142572104.6,256203803.5,45594470.65,80962039.28,66473082.07,52021704.38,70317088.16,91406591.4
Q66K64,4036259.411,7094871.231,7429495.641,5818140.139,4188103.056,6122252.14,5077474.115,5531336.28,5010119.335,3795950.081,5643253.598,6408752.512
Q9P2T0,51137929.99,50879047.11,,44635090.15,55517244.5,71856616.05,53376100.09,60789086.11,55115934.58,53184631.1,68118863.47,54825975.78
Q8TE58,2186049.325,2882356.276,1910891.44,9284980.082,6129323.887,11594181.02,2890491.026,2563452.037,,10403350.69,4618872.333,7825107.033
Q6UWF5,38061325.62,41020509.78,50444040.17,33392489.57,44699964.76,50181189.01,48472526.23,37607790.21,31482331.45,19213514.54,20008624.47,
Q8N9L1,45295187.23,49013766.64,33519786.5,35697388.2,35558066.18,42333834.49,30065870.13,35278302.69,38141998.52,31943110.32,24108968.62,34451563.57
Q5T686,154747394.8,87221980.8,189561141.9,,186200299.7,226892372.3,147092487,147454529.7,103111907.9,102052216,124088979.1,221451465
Q5BJH2,138898808.7,178100489.2,,90984912.76,,132931652.7,135747249.3,148749782.4,200472057.7,152809591.9,124952329.6,250315992
Q9BSJ8,326482123.2,,336690570.9,558698452.3,462967744.8,592651214.6,196376467,265803330.4,391624479.8,264242824.7,273724482.2,336690294.2
P67775,5756540.445,5896874.956,5677475.142,,2362729.773,2974433.573,5316537.19,5415541.958,6084344.752,10865635.46,19815144.53,14596429.93
P21796,4448673.066,2545455.622,3824042.744,2482219.248,4150696.802,6041847.293,5789146.462,2892503.809,4296791.666,3725618.67,,3164827.228
Q9BX70,91302585.08,84776790.76,,61976776.19,48572670.82,66394594.47,99660841.2,71970984.38,99434003.09,,270258359.3,316138231.2
Q8IWA6,,48103494.61,44708425.47,40922224.78,37781771.71,63498197.05,33750798.29,,47810265.51,,,53492332.91
Q53TQ3,16852930.7,10562476.09,12295987.46,11538518.8,16692521.55,10416137.78,14034595.1,18378998.41,,29295956.22,42259248.93,38046788.29
Q8N3A8,35597844.95,38860849.45,,109059687.9,115251740.9,99860336.96,19599212.38,17196871.64,17188194.22,31983643.23,38271914.58,
P19388,41512587.74,,39393922.2,50624670.83,49248972.21,51790850.28,36002568.14,77308410.87,56184848.24,30669307.07,59831374.25,53204871.55
Q9NYK1,8006584.461,12629119.36,10775932.59,,11036129.74,13359500.42,7943124.43,10112290.6,5649228.834,10860065.16,6601296.564,16556329.94
A7E2Y1,276063.55,309762.995,376803.034,270688.912,321580.627,325476.258,251767.904,313213.35,,303992.182,387400.465,320724.96
Q7Z6A9,24614273.26,18259640.6,27939667.2,19184662.75,42409600.6,74559695.01,30055269.37,29772810.72,29944761.84,37095644.24,34202873.9,32545481.54
A0A0B4J238,4193866.29,4503905.991,5642355.549,5029311.944,6648961.962,7197505.228,,987042.353,1425113.784,3029720.61,3386278.068,3741644.44
P02708,42351144.7,45874896.46,42021622.26,46295059.15,61085565.96,50668581.14,37521553.78,47523982.98,65132368.71,31705523.48,43563122.58,60376588.78
Q8WWZ3,36125557.48,32141711.68,25561812.69,33349230.67,32713022.52,26561767.01,,28810852.42,23805147,14854353.42,12460927.37,25814801.92
P56557,9194379.629,10304480.73,10316840.56,,9236935.142,11475590.6,8093783.297,8799926.214,,7246444.728,,11917951.12
O14715,260326157.9,304568796.1,,292146272,278475523.1,,315547101.5,,206847716.1,290886904.4,225893121.9,339106729.5
Q2M2I5,99908654.74,70840852.55,,239206226.3,91409672.37,131546697.8,89906002.41,105771247.8,107372207,79203535.53,46640179.59,131433711.2
Q92544,442385305.9,434630196.3,401617024.7,277214838.9,383085656.2,,383598325.7,313553583.9,,424215484.2,,313286038.4
Q5JU69,9071463.25,11958867.84,10942146.92,8166447.103,,8588993.978,7317992.686,9799252.892,9482347.039,8113075.19,8185659.109,10344458.79
Q8N2X6,17709272.53,13164891.17,7875281.131,,,13151203.08,13574617.48,10211875.01,9253501.918,10353910.61,5216382.649,6359111.764
Q8IZ41,138836882.5,123831274.2,145892493,158193992.8,218826373.1,,118841955.2,117014185.5,163017145.6,151521985,110219027.3,151308272.6
P04156,676648152,687648377.2,865712486.6,486019593.5,716897849.5,728460915.7,681181565.1,732002638.9,685190711.5,727347177.2,721179653.1,846161401.7
Q9Y4X0,35216694.39,40482058.41,56866417.87,38919494.08,32265803.24,43221947.34,37353653,31032453.04,37187538.87,28308269.65,29031800.03,20556939.85
Q86YS6,161230983.3,,295759826.3,252733394.4,230487070,,463242089.3,658734210.5,717380123.6,,258180145.5,269441282.3
P00403,104905266.5,101056317.8,123733570.5,29846307.68,35362213.68,55676056.91,62343519.95,,,,45618642.29,
Q9NZD1,50707606.71,60091631.48,54328467.82,136092939.7,142670261.6,211108538.8,52180963.12,57767078.67,,50634145.77,69422714.79,68626050.23
A2RU49,58053628.25,52904370.5,81614171.34,48876864.86,55212135.85,65751686.22,60585298.85,53400191.87,103194487.2,61848758.01,69846964.22,59449187.63
P56975,23885335.23,21180185.11,26426230.17,23139520.73,26029534.88,22507839.08,36098519.11,37854128.35,,12687580.15,21918441.71,12378669.76
O14618,3487474.527,4400901.824,4278730.08,2972272.934,4803602.985,3684113.109,4024196.54,4185208.039,5595422.772,9172341.74,7876866.609,13366858.46
Q96S53,3001649.224,2139219.974,4589616.458,1992176.878,2233054.991,5139857.873,4063088.547,2418651.126,3256028.742,2783310.85,5104337.999,2965058.803
Q6ZRC1,16278490.83,20089041.6,22384368.89,21895381.19,,20113750.87,24069443.78,19199884.14,21637332.61,12916774.77,16903828.14,15868671.84
Q3B8N2,159895652.2,161767740.9,138394264.2,98647634.44,111717520.2,144344239.4,131291815.3,131948483.6,132712701.6,124751566.4,112808621.1,145545168.9
Q8N6N3,,68412052.62,61123997.6,49399528.59,82091057.27,89161548.75,,113473735.1,73114799.51,,39620464.74,53253547.92
Q96NK8,,4727671.389,8411306.305,,6829064.663,,5347815.355,6814341.295,6711641.634,4563340.124,,6951237.692
Q04771,193301525.1,255386036.1,221626568.9,183031357.8,228723596.9,,185991170.9,304705930.1,270680076.1,203401348.6,335405074.6,229214070.6
O75897,184116209,231470966.8,223920064.9,167943327,219093833.7,239107529.7,166059314.7,221212092.6,213990455.5,137009971.8,182107104.9,227429123.2
Q6UW32,22545473.9,18628965.89,20816934.91,8325538.963,7617274.924,6935971.615,22764919.98,26076565.2,29726291.62,26751358.17,22514601.29,28515545.25
P57060,5694207.776,5943893.247,5945945.126,11337134.91,5703333.32,8236131.135,,5722354.873,7940656.039,7707985.765,8567985.69,4677468.573
Q96DN5,14628100.14,13910250.06,15437710.62,14082784.41,16036303.42,16826306.53,14861745.77,11054167.24,12512000.23,,,15902696.01
Q96DU9,25828417.64,33823068.83,43829870.36,30044325.87,34562455.45,,,36310788.24,53461108.05,31687050.57,28219576.11,38870413.6
A6NFK2,,60863206.76,57385788.01,,40915640.98,45617865.32,35790726.87,40407692.26,50428122.69,53030539.71,39857344.31,38612977.97
Q9H4R4,203657422.3,335122392.4,352177953.9,292924662.1,474503938.4,427594091.7,248279040.7,391444221.3,,260408830.7,,465160228.1
P98170,,,65546219.79,70968639.33,72831069.12,126962489.8,50395656.28,58090188.9,37562255.99,54289145.23,84539808.73,59831368.94
O15144,42522910.42,59307033.84,74670792.37,,62023096.77,69305637.91,57525412.39,61785291.19,,66900387.65,47968018.02,59254872.77
Q6ZS10,,48222858.13,35148635.64,38279875.33,50459568.69,53505388.9,36158196.03,56193784.61,46627195.12,27029225.28,51228168.83,51623982.89
O95759,24650621.04,50232755.15,35136329.47,42173465.03,21930892.52,43898476.68,26499352.77,25880906.01,38404550.13,,44489192.19,34843644.57
P25103,49959989.21,78141155.38,47753985.55,33614773.99,62859562.51,51280603.12,42677303.88,28267176.29,34254887.86,38289828.82,25989813.72,44202954.95
Q86T13,4640979.809,4018814.058,6027039.132,3786939.469,3641138.625,5244252.384,3975891.441,4042010.395,,4705134.552,4933977.107,5473981.447
P82664,12357186.75,12442214.66,20503941.09,6260334.15,8178885.594,6811089.795,12221725.3,9120941.354,22253297.12,10945322.16,10743193.78,
Q96NH3,30270362.18,25968816.64,14269935.78,23509200.79,27067160.04,24064282.81,18179260.5,,25886559.24,13331551.19,16999995.32,15019365.83
Q96CE8,8121584.18,10082865.73,7907929.316,5869111.65,7748518.404,11870849.09,7748183.588,7756938.942,11072382.66,7555187.382,9310338.082,7598059.645
Q9NWV4,499445182.4,474527057.2,516450235.7,,405645595.6,530665700.5,695367145.1,465809377,409650049,455637332.6,452925412.4,429429210.1
Q0P641,2706021.208,2280699.098,3017245.508,3295076.935,4093568.689,,3364244.24,2439392.203,3701796.461,2977117.132,2844900.327,
Q86YV0,13056808.03,17610284.7,27621850.02,20965872.09,19782678.5,15758877.88,17562710.54,16887252.26,,12123897.23,9865967.936,14235615.41
Q9Y6Y1,7332838.206,6817154.516,4532056.975,4968481.454,5316320.748,7639472.226,3319864.588,4350035.206,6149555.341,4658869.701,6475033.08,6978655.286
Q8WXS3,30226308.13,20055853.88,28220403.5,26873979.67,,22507620.47,24504834.86,28705764.78,27953518.14,75143875.62,58037981.63,89335197.13
Q8IUS5,36519810.33,46525280.96,95105275.36,44935879.05,40526747.16,57232758.65,46370575.47,32271852.56,68603509.63,30564689.38,60678048.45,
P31274,15075403.75,13734235.5,15415539.53,12497497.36,16707882.13,18807851.11,9201972.483,16810035.24,,17429446.7,,15017449.62
Q9HD42,30951526.64,46387764.64,56228705.47,41240542.7,57022740.34,70847095.24,33485206.6,40962098.77,39500192.25,52494534.21,31127483.91,36087457.07
Q9Y287,74239883.44,79658322.86,,51386672.14,79337755.95,74586921.44,79382087.95,79217714.8,136444890.8,95335503.7,58760924.86,103880060.1
Q9NTX9,21274382.79,30354907.62,,16043537.02,19848714.09,31910759.88,20026426.1,28119386.94,27312217.29,18231302,21311958.36,20720007.94
Q9BXV9,334118889.5,349827690.1,408097249.7,309387990.5,263424395.5,515053867.8,258131870.6,244382954.4,197085574.7,,443904786.4,602015098.6
Q8N0S2,39793300.43,66418456.08,47893902.23,56285671.69,45935065.62,58992835.13,47632859.69,44189750.45,,36533140.9,70685178.13,63957941.67
Q8IYD8,3368134.048,1661067.134,2735048.847,1878699.718,1841501.062,2888759.668,1695657.095,1574144.796,1415633.274,2293539.673,1454121.253,2558360.495
Q9UJW8,672392434.6,885644629.4,538289605,368218017.1,361840502.1,416385875.2,666578277.9,751139712,,1359897943,1116883865,1785330358
O94901,5280902.806,10989682.09,,3561325.362,8441552.488,4898223.513,6948943.086,8034474.847,6487105.904,5874054.309,12312215.6,7129429.668
O95498,1141385.036,842418.015,1341381.522,842200.554,,1142655.794,1283785.028,993485.422,1113408.358,1096701.454,1370151.118,1241831.93
P36508,262998972.9,272961277.5,348511096.8,220981624.1,180621408.6,268386169.2,221327845.3,247942990.3,243611483.6,204487969.9,239188962.3,285688938.2
P49411,8815254.2,11312437.22,13715789.08,12955574.86,12942633.8,13047346.28,11074099.91,13779595.42,16864614.52,10646420.32,17273555.96,8944703.125
Q96A58,9702451.66,8658281.885,12349681.08,7515298.761,9497137.793,7107478.416,9512810.274,11502496.69,14127654.49,9821942.455,6128764.24,14507239.33
O43186,3119386.216,3265456.786,4109990.288,2986943.843,3163000.249,3443701.105,3701095.733,3660731.946,3138702.887,3621584.894,3242862.566,3141775.786
O95219,6345313.848,4970098.503,4793605.447,6698764.405,4170248.325,,2831370.253,,,4164660.159,2968328.876,4487476.623
A8MWL6,4759527.256,5964516.254,5393968.13,3017236.684,5326530.068,5598690.81,4464565.957,4635175.934,7475636.775,2400907.571,3209520.547,3612719.595
Q9UL42,173746986.9,238939258.4,193553908.6,256916991.3,238380408.9,222616816.3,192926970.7,214859483.6,191332596.7,190350359.3,269438143.2,179430879.1
Q09472,40689028.51,63423322.54,67708015.26,64233191.56,53475086.99,67919670.35,60743248.08,79337144.52,59049398.35,56421364.27,31112617.56,47460999.22
O15370,17762610.64,18614011.74,25787738.25,46725814.38,29784792.76,40086405.41,20072977.72,18999511.67,21974281.07,15979196.16,19065799.64,30341331.25
P11686,82232077.31,101481085.4,130596617,121674077.3,73904603.87,69156480.06,63480669.32,52432720.64,88866568.2,70988679.27,106085351.8,53725542.69
P50336,83547318.7,97813285.32,88512689.39,183598319.3,270085144.4,204420098.3,86854077.01,90967831.7,83184685.7,101331885.5,109771352.8,101572465.7
P48506,118162381.7,117664787.4,157706907.8,199298678,,235527311.9,,118525842.5,98413091.11,,,145167844.1
Q8N729,38640087.21,44844119.31,49663373.89,31064930.1,38030016.83,42218609.52,30060280.93,43887096.71,45408115.12,28595886.73,43297103.39,42476985.06
Q9UJW3,78340262.33,,96144568.6,73859506.16,99692077.37,116559712.3,75094205.06,102198121.9,106829486.9,115603095.1,,98506967.64
Q8TC07,27109193.17,27842876.56,49992901.69,,17714549.86,,32619876.79,,32939969.82,67431266.23,49053992.38,51076755.57
Q6ZUT4,33869616.07,30050266.21,45985076.9,27426545.68,42778211.71,41791928.83,54808734.85,32167661.89,,61255822.05,49877527.28,31359379.12
O00233,327266127.3,525607443.9,507604686.6,346472941.6,297199112.7,333700650.1,630168309.5,568864836,434209714.4,350321486.8,542701228.5,
Q16613,16833864.04,13073458.58,19885763.5,18213988.43,21430039.24,24301529.04,12577684.42,14305372.17,16584750.95,10096550.67,,
Q11130,1997171.544,1880225.57,2333513.785,3489528.535,2640498.431,3980650.691,3059004.947,2851306.547,3197373.34,,2417307.642,2643490.388
P17861,25055505.33,18178179.35,25872864.39,25341375.32,29778031.22,23350912.67,,26152425.34,32788564.85,20882735.82,23889881.38,21194565.26
Q9Y462,242708578.2,238007046.1,264456930.1,182883156.3,226166175.7,164686259.1,,303858475.4,312666485.5,199099372.4,302816230.8,191559799.1
P51617,91764734.14,140349218.5,137958167.9,123634815.7,,143395624.5,78722999.69,212343674.3,81160179.51,105897942.5,138926878,
